Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,Vgchartzscore,Metacritic Review
484,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,8.5,,,3.34,1.9,1.14,0.01,0.3,2013,22nd Mar 18,,8
501,Madden NFL 17,madden-nfl-17,Sports,E,PS4,EA Sports,EA Tiburon,8.5,,,3.28,2.3,0.37,,0.6,2016,01st Apr 18,,4.1
506,FIFA 16,fifa-16,Sports,E,XOne,EA Sports,EA Canada,8.5,,,3.25,0.92,2.1,,0.24,2015,01st Apr 18,,4.6
597,Mortal Kombat (2011),mortal-kombat-2011,Fighting,M,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.5,,,2.9,1.98,0.54,,0.38,2011,06th Jan 18,,8.4
675,Call of Duty 2: Big Red One,call-of-duty-2-big-red-one,Shooter,T,PS2,Activision,Treyarch,8.5,,,2.67,1.48,0.92,0.01,0.26,2005,,,7.3
717,Dragon Age: Origins,dragon-age-origins,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,8.5,,,2.56,1.76,0.55,0.03,0.22,2009,,8.3,8.4
720,Madden NFL 09,madden-nfl-09,Sports,E,X360,EA Sports,EA Tiburon,8.5,,,2.54,2.21,0.12,,0.2,2008,,,6
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,PS3,Activision,Treyarch,8.4,,,5.43,2.75,1.84,,0.84,2008,,8.8,7.8
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.4,,,5.08,1.7,2.03,0.16,1.19,2006,,,8.4
251,Fallout 4,fallout-4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,,,5.03,2.94,1.62,0.02,0.45,2015,24th Mar 18,,6.8
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,PS2,EA Sports,Team Fusion,8.4,,,4.11,0.71,2.48,0.03,0.89,2006,,,8.5
363,Far Cry 4,far-cry-4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,,,4.06,1.18,2.14,0.11,0.63,2014,23rd Jan 18,,7.8
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,PS2,EA Sports,EA Canada,8.4,,,3.7,0.58,2.48,0.04,0.59,2004,,,7.3
424,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,Wii,Activision,Vicarious Visions,8.4,,,3.62,2.32,0.96,,0.34,2008,,,7
499,The Lord of the Rings: The Return of the King,the-lord-of-the-rings-the-return-of-the-king,Action,T,PS2,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,,,3.28,1.5,1.28,0.05,0.46,2003,,,8.5
569,WWE SmackDown! vs. Raw 2006,wwe-smackdown-vs-raw-2006,Fighting,T,PS2,THQ,Yuke's,8.4,,,3,1.57,1.02,,0.41,2005,04th Jan 18,,8.2
579,Star Wars: The Old Republic,star-wars-the-old-republic,Role-Playing,T,PC,Electronic Arts,BioWare / LucasArts,8.4,,,2.97,1.59,1.01,,0.37,2011,,,6
669,LEGO Star Wars II: The Original Trilogy,lego-star-wars-ii-the-original-trilogy,Action,E10,PS2,LucasArts,Traveller's Tales,8.4,,,2.69,1.85,0.64,0.01,0.19,2006,,,8.7
69,FIFA 18,fifa-18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,,11.8,1.27,8.64,0.15,1.73,2017,02nd Apr 18,,3.8
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,PS2,Electronic Arts,EA Black Box,8.3,,,6.9,2.71,3.02,0.08,1.09,2004,,,8.7
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,XOne,Activision,Sledgehammer Games,8.3,,,5.22,3.25,1.49,0.01,0.48,2014,01st Jan 18,,5.8
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,PS2,Electronic Arts,Stormfront Studios,8.3,,,4.67,1.94,1.95,0.08,0.7,2002,,,8
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,E,NS,Nintendo,Game Freak,8.3,,,4.57,2.16,1.24,0.82,0.34,2018,14th Nov 18,8,6.3
384,Battlefield 4,battlefield-4,Shooter,M,PS4,Electronic Arts,EA DICE,8.3,,,3.94,1.4,1.74,0.19,0.62,2013,09th Jan 18,,7.2
386,EA Sports Active,ea-sports-active,Sports,E,Wii,EA Sports,EA Vancouver,8.3,,,3.93,2.11,1.35,0.06,0.4,2009,,,5.1
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,PS2,Rockstar Games,Rockstar Leeds,8.3,,,3.54,1.56,1.4,0.07,0.5,2006,,,7.7
460,Borderlands,borderlands,Shooter,M,X360,2K Games,Gearbox Software,8.3,,,3.48,2.43,0.72,0.03,0.3,2009,,8.6,7.9
471,Destiny,destiny,Shooter,T,XOne,Activision,Bungie,8.3,,,3.41,2.17,0.92,,0.32,2014,12th Jan 18,,5.5
479,The Elder Scrolls V: Skyrim Special Edition,the-elder-scrolls-v-skyrim-special-edition,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Softworks,8.3,,,3.36,1.24,1.5,0.08,0.54,2016,01st Apr 18,,8.3
517,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,8.3,,,3.19,1.07,1.55,0.06,0.51,2013,14th Mar 18,,8
647,Saints Row: The Third,saints-row-the-third,Action,M,X360,THQ,Volition Inc.,8.3,,,2.77,1.26,1.14,0.07,0.3,2011,,,7.7
657,"Pokemon: Let's Go, Eevee!"," eevee""",Role-Playing,E,NS,Nintendo,Game Freak,8.3,,,2.73,1.22,0.8,0.51,0.2,2018,14th Nov 18,,6.4
660,Madden NFL 13,madden-nfl-13,Sports,E,PS3,EA Sports,EA Tiburon,8.3,,,2.71,2.12,0.24,,0.36,2012,04th Jan 18,,5.5
661,Skate 3,skate-3,Sports,T,X360,EA Sports,EA Black Box,8.3,,,2.71,1.47,0.99,,0.25,2010,,7.7,8.5
670,Madden NFL 11,madden-nfl-11,Sports,E,X360,EA Sports,EA Tiburon,8.3,,,2.69,2.38,0.12,,0.19,2010,,,6.4
702,Mario + Rabbids: Kingdom Battle,mario-rabbids-kingdom-battle,Strategy,E10,NS,Ubisoft,Ubisoft Milan,8.3,,,2.59,1.1,1.08,0.22,0.2,2017,24th Jan 18,,8.3
726,Midnight Club: Los Angeles,midnight-club-los-angeles,Racing,T,PS3,Rockstar Games,Rockstar San Diego,8.3,,,2.5,1.59,0.54,0.05,0.33,2008,,,7.9
728,Marvel: Ultimate Alliance,marvel-ultimate-alliance,Role-Playing,T,X360,Activision,Raven Software,8.3,,,2.5,2.29,0.02,,0.19,2006,,,7.9
746,Saints Row: The Third,saints-row-the-third,Action,M,PS3,THQ,Volition Inc.,8.3,,,2.48,0.86,1.06,0.18,0.37,2011,,,7.8
749,Pure,pure,Racing,E,X360,Disney Interactive Studios,Black Rock Studio,8.3,,,2.47,1.38,0.84,0,0.25,2008,,,7.7
203,Assassin's Creed,assassins-creed,Action,M,X360,Ubisoft,Ubisoft Montreal,8.2,8,,5.55,3.28,1.64,0.07,0.56,2007,,7.5,7.4
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,PS2,RedOctane,BudCat Creations,8.2,,,4.98,3.49,0.01,0.01,1.48,2007,,,8.6
275,Assassin's Creed,assassins-creed,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,,4.83,1.91,2.01,0.09,0.82,2007,,7.5,7.2
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,PS2,Activision,Treyarch,8.2,,,4.48,2.71,1.51,0.03,0.23,2002,,,7.5
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,,4.08,2.67,1.03,0.04,0.34,2010,,7.7,8.8
395,MotorStorm,motorstorm,Racing,T,PS3,Sony Computer Entertainment,Evolution Studios,8.2,,,3.87,1.53,1.61,0.06,0.67,2007,,8.5,7.3
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,PS2,Konami,Konami,8.2,,,3.63,0.05,0,0.64,2.93,2008,,,7.8
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,8.2,,,3.54,1.66,1.58,0.12,0.18,1998,,,8.1
494,Madden NFL 16,madden-nfl-16,Sports,E,PS4,EA Sports,EA Tiburon,8.2,,,3.3,2.39,0.31,,0.61,2015,31st Mar 18,,5.8
521,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,PS3,Bethesda Softworks,Obsidian Entertainment,8.2,,,3.17,1.54,1.04,0.1,0.49,2010,,,8.6
611,The Elder Scrolls III: Morrowind,the-elder-scrolls-iii-morrowind,Role-Playing,T,XB,Bethesda Softworks,Bethesda Softworks,8.2,,,2.86,2.09,0.63,0.03,0.11,2002,,,8.5
632,Killzone 3,killzone-3,Shooter,M,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,,,2.81,1.46,0.87,0.09,0.38,2011,,,8.1
682,Need for Speed: Shift,need-for-speed-shift,Racing,E,PS3,Electronic Arts,Slightly Mad Studios,8.2,,,2.65,0.69,1.4,0.04,0.52,2009,,8.6,6.7
692,Madden NFL 18,madden-nfl-18,Sports,E,PS4,EA Sports,EA Tiburon,8.2,,,2.62,1.73,0.42,,0.47,2017,03rd Apr 18,,3.6
723,Crazy Taxi,crazy-taxi,Racing,T,PS2,Acclaim Entertainment,Hitmaker,8.2,,,2.52,1.13,1.12,0.06,0.22,2001,,,7.7
743,Mortal Kombat: Deadly Alliance,mortal-kombat-deadly-alliance,Fighting,M,PS2,Midway Games,Midway,8.2,,,2.49,1.81,0.52,,0.15,2002,,,7.7
168,FIFA 15,fifa-15,Sports,E,PS4,EA Sports,EA Canada,8.1,,,6.32,0.83,4.49,0.05,0.94,2014,23rd Mar 18,,5.7
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,PS4,Square Enix,Square Enix,8.1,,,5.07,1.81,1.53,1.05,0.68,2016,04th May 18,,7.8
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,,,4.11,1.65,1.68,0.11,0.66,2015,04th Jan 18,,8.1
426,Star Wars Battlefront,star-wars-battlefront,Shooter,T,PS2,LucasArts,Pandemic Studios,8.1,,,3.61,1.93,1.22,0.03,0.44,2004,,,8.8
485,NBA 2K18,nba-2k18,Sports,E10,PS4,2K Sports,Visual Concepts,8.1,,,3.34,2.13,0.57,0.04,0.59,2017,02nd Apr 18,,1.8
493,Max Payne,max-payne,Shooter,M,PS2,Rockstar Games,Remedy Entertainment,8.1,,,3.31,1.99,1.05,0.05,0.22,2001,,,8.6
674,Halo Wars,halo-wars,Strategy,T,X360,Microsoft Game Studios,Ensemble Studios,8.1,8.5,,2.67,1.58,0.8,0.04,0.25,2009,,8.4,7.6
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,PS4,Activision,Sledgehammer Games,8,,,13.4,4.67,6.21,0.4,2.12,2017,31st Dec 17,,5.2
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,Wii,LucasArts,Traveller's Tales,8,,,5.66,3.57,1.57,,0.52,2007,,,8.7
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,PS3,Square Enix,Square Enix,8,9.2,,5.35,1.75,1.23,1.87,0.51,2010,,9,6.1
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,E,PS,Electronic Arts,Argonaut Games,8,,,3.73,1.37,2,0.14,0.22,2001,,,6.6
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,M,PS2,Sony Computer Entertainment,Zipper Interactive,8,,,3.65,2.53,0.81,0.06,0.24,2002,,,8.4
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,E,PS2,EA Sports,EA Canada,8,,,3.49,0.59,2.36,0.04,0.51,2003,,,6.6
526,FIFA 18,fifa-18,Sports,E,XOne,EA Sports,EA Vancouver,8,,,3.14,0.98,1.92,,0.23,2017,02nd Apr 18,,3.5
591,Madden NFL 13,madden-nfl-13,Sports,E,X360,EA Sports,EA Tiburon,8,,,2.93,2.53,0.16,,0.24,2012,04th Jan 18,,5.8
638,Skylanders: Spyro's Adventure,skylanders-spyros-adventure,Action,E10,Wii,Activision,Toys for Bob,8,,,2.79,1.35,1.15,,0.3,2011,,,6.1
668,Call of Duty 3,call-of-duty-3,Shooter,T,X360,Activision,Treyarch,8,8.4,,2.7,1.49,0.92,0.02,0.27,2006,,,6.6
709,WWE SmackDown vs. RAW 2007,wwe-smackdown-vs-raw-2007,Fighting,T,PS2,THQ,Yuke's,8,,,2.58,1.4,0.88,0.03,0.26,2006,,,8.3
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,7.9,,,4.22,2.28,1.47,0.04,0.44,2011,,,7.4
383,Far Cry 5,far-cry-5,Action,M,PS4,Ubisoft,Ubisoft,7.9,,,3.95,1.44,1.73,0.15,0.62,2018,28th Feb 18,,7
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,E,PS2,Eidos Interactive,Traveller's Tales,7.9,,,3.53,1.98,1.14,0.01,0.41,2005,,,8.2
467,Tekken 4,tekken-4,Fighting,T,PS2,Namco,Namco,7.9,,,3.44,1.55,1.27,0.33,0.29,2002,,,8
472,Spider-Man 2,spider-man-2,Action,T,PS2,Activision,Treyarch,7.9,,,3.41,1.75,1.2,0.02,0.43,2004,,,8.5
542,Saints Row 2,saints-row-2,Action,M,X360,THQ,Volition Inc.,7.9,,,3.07,1.98,0.79,0.02,0.28,2008,02nd Apr 18,,8.5
245,Fable III,fable-iii,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,7.8,,,5.1,3.59,1.09,0.05,0.37,2010,,,6.7
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E,DS,LucasArts,Traveller's Tales,7.8,,,4.77,2.83,1.49,,0.45,2007,,,7.8
547,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,DS,Warner Bros. Interactive,Traveller's Tales,7.8,,,3.06,1.75,1.02,,0.29,2008,,,7.2
664,Madden NFL 12,madden-nfl-12,Sports,E,X360,EA Sports,EA Tiburon,7.8,,,2.7,2.43,0.11,,0.16,2011,,,6.2
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,PS2,VU Games,Radical Entertainment,7.7,,,4.7,1.73,2.19,,0.79,2003,,,8.6
439,The Getaway,the-getaway,Action,M,PS2,Sony Computer Entertainment,Team Soho,7.7,,,3.54,1.23,1.77,0.05,0.49,2003,,,7.6
228,Tomb Raider II,tomb-raider-ii,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,7.6,,,5.24,2.3,2.46,0.2,0.28,1997,,,8.4
394,Sports Champions,sports-champions,Sports,E10,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,,3.88,2.15,1.13,0.1,0.5,2010,,,7.8
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,DS,Sega,Sega,7.6,,,3.47,1.21,1.63,0.27,0.37,2009,,,8
83,Just Dance 3,just-dance-3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.5,,,10.14,5.95,3.13,,1.06,2011,,,8
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,,,10.13,4.11,4.01,0.39,1.62,2013,21st Mar 18,,3
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS4,Activision,Infinity Ward,7.5,,,4.17,1.79,1.64,0.05,0.69,2013,21st Mar 18,,4.3
402,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,X360,LucasArts,Traveller's Tales,7.5,,,3.76,2.4,1.01,,0.36,2008,,,7.7
466,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,X360,Warner Bros. Interactive,Traveller's Tales,7.5,,,3.44,2.07,1.04,,0.34,2008,,7.5,7
545,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,XOne,Activision,Infinity Ward,7.5,,,3.07,1.92,0.86,,0.28,2013,21st Mar 18,,4.5
549,Kung Fu Panda,kung-fu-panda,Platform,E10,X360,Activision,Luxoflux,7.5,,,3.05,1.91,0.84,,0.29,2008,,,7.2
403,The Sims: Unleashed,the-sims-unleashed,Simulation,T,PC,Electronic Arts,Maxis,7.3,,,3.76,2.03,1.56,,0.17,2002,,,6.8
541,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,Wii,Warner Bros. Interactive,Traveller's Tales,7.3,,,3.08,1.8,0.98,,0.29,2008,,7.5,7.7
656,Far Cry: Primal,far-cry-primal,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,7.2,,,2.73,0.63,1.61,0.07,0.41,2016,03rd Apr 18,,7
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,,8.03,3.31,3.19,0.23,1.3,2015,24th Mar 18,,5.1
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,E10,DS,Activision,Vicarious Visions,7.1,8.1,,3.46,2.1,1.01,0.01,0.35,2008,,,6.4
646,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,T,X360,LucasArts,LucasArts,7.1,,,2.77,1.74,0.78,,0.26,2008,,,7
241,Microsoft Flight Simulator,microsoft-flight-simulator,Simulation,E,PC,Microsoft,Microsoft,7,,,5.12,3.22,1.69,,0.2,1996,,,7.4
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,E,DS,Sega,Sega,7,,,5.1,1.63,2.46,0.44,0.57,2008,,,8
281,Driver 2,driver-2,Action,T,PS,Atari,Reflections Interactive,7,,,4.73,2.36,2.1,0.02,0.25,2000,,,7.5
358,The Sims 4,the-sims-4,Simulation,T,PC,Electronic Arts,Maxis,7,,,4.1,1.2,2.6,,0.3,2014,29th Dec 17,5.8,4.2
524,Club Penguin: Elite Penguin Force,club-penguin-elite-penguin-force,Adventure,E,DS,Disney Interactive Studios,1st Playable Productions,7,,,3.14,1.87,0.97,,0.3,2008,,,7.1
534,Tom Clancy's Ghost Recon Wildlands,tom-clancys-ghost-recon-wildlands,Shooter,M,PS4,Ubisoft,Ubisoft Paris,7,,,3.12,1.07,1.35,0.22,0.47,2017,01st Apr 18,,6.5
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,XOne,Electronic Arts,EA DICE,6.9,,,4.15,2.49,1.26,0.02,0.38,2015,24th Mar 18,,4.6
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,E,DS,Majesco,Office Create,6.9,,,3.58,1.6,1.49,0.1,0.39,2007,,,8.4
416,MySims,mysims,Simulation,E,DS,Electronic Arts,EA Redwood Shores,6.7,,,3.66,1.58,1.6,0.08,0.4,2007,,,6.6

